#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  goodRandom.bin|  6.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.19667054|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.90373861|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.77447783|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.01764292|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.40382977|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.83262971|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.43693946|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.73979409|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.58893339|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.07360745|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.76523851|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.14154100|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.73197393|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.90845365|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.94298759|  PASSED  
             dab_dct| 256|     50000|       1|0.59929876|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.59964558|  PASSED  
        dab_filltree|  32|  15000000|       1|0.19755634|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.53505445|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.59575344|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.43269348|  PASSED  
